Date,level_1,0
2014-09-17,High,468.17401123046875
2014-09-17,Low,452.4219970703125
2014-09-17,Open,465.864013671875
2014-09-17,Close,457.3340148925781
2014-09-17,Volume,21056800.0
2014-09-17,Adj Close,457.3340148925781
2014-09-18,High,456.8599853515625
2014-09-18,Low,413.10400390625
2014-09-18,Open,456.8599853515625
2014-09-18,Close,424.44000244140625
2014-09-18,Volume,34483200.0
2014-09-18,Adj Close,424.44000244140625
2014-09-19,High,427.8349914550781
2014-09-19,Low,384.5320129394531
2014-09-19,Open,424.1029968261719
2014-09-19,Close,394.7959899902344
2014-09-19,Volume,37919700.0
2014-09-19,Adj Close,394.7959899902344
2014-09-20,High,423.2959899902344
2014-09-20,Low,389.88299560546875
2014-09-20,Open,394.6730041503906
2014-09-20,Close,408.90399169921875
2014-09-20,Volume,36863600.0
2014-09-20,Adj Close,408.90399169921875
2014-09-21,High,412.4259948730469
2014-09-21,Low,393.1809997558594
2014-09-21,Open,408.0849914550781
2014-09-21,Close,398.8210144042969
2014-09-21,Volume,26580100.0
2014-09-21,Adj Close,398.8210144042969
2014-09-22,High,406.9159851074219
2014-09-22,Low,397.1300048828125
2014-09-22,Open,399.1000061035156
2014-09-22,Close,402.1520080566406
2014-09-22,Volume,24127600.0
2014-09-22,Adj Close,402.1520080566406
2014-09-23,High,441.5570068359375
2014-09-23,Low,396.1969909667969
2014-09-23,Open,402.0920104980469
2014-09-23,Close,435.7909851074219
2014-09-23,Volume,45099500.0
2014-09-23,Adj Close,435.7909851074219
2014-09-24,High,436.11199951171875
2014-09-24,Low,421.1319885253906
2014-09-24,Open,435.7510070800781
2014-09-24,Close,423.2049865722656
2014-09-24,Volume,30627700.0
2014-09-24,Adj Close,423.2049865722656
2014-09-25,High,423.5199890136719
2014-09-25,Low,409.4679870605469
2014-09-25,Open,423.156005859375
2014-09-25,Close,411.5740051269531
2014-09-25,Volume,26814400.0
2014-09-25,Adj Close,411.5740051269531
2014-09-26,High,414.93798828125
2014-09-26,Low,400.0090026855469
2014-09-26,Open,411.4289855957031
2014-09-26,Close,404.42498779296875
2014-09-26,Volume,21460800.0
2014-09-26,Adj Close,404.42498779296875
2014-09-27,High,406.62298583984375
2014-09-27,Low,397.37200927734375
2014-09-27,Open,403.5559997558594
2014-09-27,Close,399.5199890136719
2014-09-27,Volume,15029300.0
2014-09-27,Adj Close,399.5199890136719
2014-09-28,High,401.0169982910156
2014-09-28,Low,374.3320007324219
2014-09-28,Open,399.47100830078125
2014-09-28,Close,377.1809997558594
2014-09-28,Volume,23613300.0
2014-09-28,Adj Close,377.1809997558594
2014-09-29,High,385.21099853515625
2014-09-29,Low,372.239990234375
2014-09-29,Open,376.9280090332031
2014-09-29,Close,375.4670104980469
2014-09-29,Volume,32497700.0
2014-09-29,Adj Close,375.4670104980469
2014-09-30,High,390.97698974609375
2014-09-30,Low,373.4429931640625
2014-09-30,Open,376.0880126953125
2014-09-30,Close,386.9440002441406
2014-09-30,Volume,34707300.0
2014-09-30,Adj Close,386.9440002441406
2014-10-01,High,391.3789978027344
2014-10-01,Low,380.7799987792969
2014-10-01,Open,387.427001953125
2014-10-01,Close,383.614990234375
2014-10-01,Volume,26229400.0
2014-10-01,Adj Close,383.614990234375
2014-10-02,High,385.49700927734375
2014-10-02,Low,372.9460144042969
2014-10-02,Open,383.9880065917969
2014-10-02,Close,375.0719909667969
2014-10-02,Volume,21777700.0
2014-10-02,Adj Close,375.0719909667969
2014-10-03,High,377.69500732421875
2014-10-03,Low,357.8590087890625
2014-10-03,Open,375.1809997558594
2014-10-03,Close,359.5119934082031
2014-10-03,Volume,30901200.0
2014-10-03,Adj Close,359.5119934082031
2014-10-04,High,364.48699951171875
2014-10-04,Low,325.885986328125
2014-10-04,Open,359.8919982910156
2014-10-04,Close,328.8659973144531
2014-10-04,Volume,47236500.0
2014-10-04,Adj Close,328.8659973144531
2014-10-05,High,341.8009948730469
2014-10-05,Low,289.2959899902344
2014-10-05,Open,328.9159851074219
2014-10-05,Close,320.510009765625
2014-10-05,Volume,83308096.0
2014-10-05,Adj Close,320.510009765625
2014-10-06,High,345.1340026855469
2014-10-06,Low,302.55999755859375
2014-10-06,Open,320.3890075683594
2014-10-06,Close,330.0790100097656
2014-10-06,Volume,79011800.0
2014-10-06,Adj Close,330.0790100097656
2014-10-07,High,339.24700927734375
2014-10-07,Low,320.48199462890625
2014-10-07,Open,330.5840148925781
2014-10-07,Close,336.18701171875
2014-10-07,Volume,49199900.0
2014-10-07,Adj Close,336.18701171875
2014-10-08,High,354.364013671875
2014-10-08,Low,327.18798828125
2014-10-08,Open,336.1159973144531
2014-10-08,Close,352.94000244140625
2014-10-08,Volume,54736300.0
2014-10-08,Adj Close,352.94000244140625
2014-10-09,High,382.72601318359375
2014-10-09,Low,347.68701171875
2014-10-09,Open,352.74798583984375
2014-10-09,Close,365.0260009765625
2014-10-09,Volume,83641104.0
2014-10-09,Adj Close,365.0260009765625
2014-10-10,High,375.0669860839844
2014-10-10,Low,352.9630126953125
2014-10-10,Open,364.68701171875
2014-10-10,Close,361.56201171875
2014-10-10,Volume,43665700.0
2014-10-10,Adj Close,361.56201171875
2014-10-11,High,367.1910095214844
2014-10-11,Low,355.95098876953125
2014-10-11,Open,361.36199951171875
2014-10-11,Close,362.29901123046875
2014-10-11,Volume,13345200.0
2014-10-11,Adj Close,362.29901123046875
2014-10-12,High,379.4330139160156
2014-10-12,Low,356.1440124511719
2014-10-12,Open,362.6059875488281
2014-10-12,Close,378.54901123046875
2014-10-12,Volume,17552800.0
2014-10-12,Adj Close,378.54901123046875
2014-10-13,High,397.22601318359375
2014-10-13,Low,368.8970031738281
2014-10-13,Open,377.9209899902344
2014-10-13,Close,390.41400146484375
2014-10-13,Volume,35221400.0
2014-10-13,Adj Close,390.41400146484375
2014-10-14,High,411.697998046875
2014-10-14,Low,391.3240051269531
2014-10-14,Open,391.6919860839844
2014-10-14,Close,400.8699951171875
2014-10-14,Volume,38491500.0
2014-10-14,Adj Close,400.8699951171875
2014-10-15,High,402.22698974609375
2014-10-15,Low,388.7659912109375
2014-10-15,Open,400.9549865722656
2014-10-15,Close,394.77301025390625
2014-10-15,Volume,25267100.0
2014-10-15,Adj Close,394.77301025390625
2014-10-16,High,398.8070068359375
2014-10-16,Low,373.07000732421875
2014-10-16,Open,394.51800537109375
2014-10-16,Close,382.5559997558594
2014-10-16,Volume,26990000.0
2014-10-16,Adj Close,382.5559997558594
2014-10-17,High,385.4779968261719
2014-10-17,Low,375.3890075683594
2014-10-17,Open,382.7560119628906
2014-10-17,Close,383.75799560546875
2014-10-17,Volume,13600700.0
2014-10-17,Adj Close,383.75799560546875
2014-10-18,High,395.1579895019531
2014-10-18,Low,378.97100830078125
2014-10-18,Open,383.97601318359375
2014-10-18,Close,391.4419860839844
2014-10-18,Volume,11416800.0
2014-10-18,Adj Close,391.4419860839844
2014-10-19,High,393.9389953613281
2014-10-19,Low,386.4570007324219
2014-10-19,Open,391.2539978027344
2014-10-19,Close,389.5459899902344
2014-10-19,Volume,5914570.0
2014-10-19,Adj Close,389.5459899902344
2014-10-20,High,390.0840148925781
2014-10-20,Low,378.25201416015625
2014-10-20,Open,389.2309875488281
2014-10-20,Close,382.8450012207031
2014-10-20,Volume,16419000.0
2014-10-20,Adj Close,382.8450012207031
2014-10-21,High,392.64599609375
2014-10-21,Low,380.8340148925781
2014-10-21,Open,382.4209899902344
2014-10-21,Close,386.4750061035156
2014-10-21,Volume,14188900.0
2014-10-21,Adj Close,386.4750061035156
2014-10-22,High,388.57598876953125
2014-10-22,Low,382.2489929199219
2014-10-22,Open,386.1180114746094
2014-10-22,Close,383.1579895019531
2014-10-22,Volume,11641300.0
2014-10-22,Adj Close,383.1579895019531
2014-10-23,High,385.0480041503906
2014-10-23,Low,356.4469909667969
2014-10-23,Open,382.9620056152344
2014-10-23,Close,358.4169921875
2014-10-23,Volume,26456900.0
2014-10-23,Adj Close,358.4169921875
