Date,level_1,0,,open,low,high,close,adj close
,High,468.1740112,9-17-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-17-14,Low,452.4219971,9-18-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-17-14,Open,465.8640137,9-19-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-17-14,Close,457.3340149,9-20-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-17-14,Volume,21056800,9-21-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-17-14,Adj Close,457.3340149,9-22-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-18-14,High,456.8599854,9-23-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-18-14,Low,413.1040039,9-24-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-18-14,Open,456.8599854,9-25-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-18-14,Close,424.4400024,9-26-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-18-14,Volume,34483200,9-27-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-18-14,Adj Close,424.4400024,9-28-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-19-14,High,427.8349915,9-29-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-19-14,Low,384.5320129,9-30-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-19-14,Open,424.1029968,10-1-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-19-14,Close,394.79599,10-2-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-19-14,Volume,37919700,10-3-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-19-14,Adj Close,394.79599,10-4-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-20-14,High,423.29599,10-5-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-20-14,Low,389.8829956,10-6-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-20-14,Open,394.6730042,10-7-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-20-14,Close,408.9039917,10-8-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-20-14,Volume,36863600,10-9-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-20-14,Adj Close,408.9039917,10-10-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-21-14,High,412.4259949,10-11-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-21-14,Low,393.1809998,10-12-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-21-14,Open,408.0849915,10-13-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-21-14,Close,398.8210144,10-14-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-21-14,Volume,26580100,10-15-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-21-14,Adj Close,398.8210144,10-16-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-22-14,High,406.9159851,10-17-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-22-14,Low,397.1300049,10-18-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-22-14,Open,399.1000061,10-19-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-22-14,Close,402.1520081,10-20-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-22-14,Volume,24127600,10-21-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-22-14,Adj Close,402.1520081,10-22-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-23-14,High,441.5570068,10-23-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-23-14,Low,396.196991,10-24-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-23-14,Open,402.0920105,10-25-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-23-14,Close,435.7909851,10-26-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-23-14,Volume,45099500,10-27-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-23-14,Adj Close,435.7909851,10-28-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-24-14,High,436.1119995,10-29-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-24-14,Low,421.1319885,10-30-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-24-14,Open,435.7510071,10-31-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-24-14,Close,423.2049866,11-1-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-24-14,Volume,30627700,11-2-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-24-14,Adj Close,423.2049866,11-3-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-25-14,High,423.519989,11-4-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-25-14,Low,409.4679871,11-5-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-25-14,Open,423.1560059,11-6-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-25-14,Close,411.5740051,11-7-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-25-14,Volume,26814400,11-8-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-25-14,Adj Close,411.5740051,11-9-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-26-14,High,414.9379883,11-10-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-26-14,Low,400.0090027,11-11-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-26-14,Open,411.4289856,11-12-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-26-14,Close,404.4249878,11-13-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-26-14,Volume,21460800,11-14-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-26-14,Adj Close,404.4249878,11-15-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-27-14,High,406.6229858,11-16-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-27-14,Low,397.3720093,11-17-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-27-14,Open,403.5559998,11-18-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-27-14,Close,399.519989,11-19-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-27-14,Volume,15029300,11-20-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-27-14,Adj Close,399.519989,11-21-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-28-14,High,401.0169983,11-22-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-28-14,Low,374.3320007,11-23-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-28-14,Open,399.4710083,11-24-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-28-14,Close,377.1809998,11-25-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-28-14,Volume,23613300,11-26-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-28-14,Adj Close,377.1809998,11-27-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-29-14,High,385.2109985,11-28-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-29-14,Low,372.2399902,11-29-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-29-14,Open,376.928009,11-30-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-29-14,Close,375.4670105,12-1-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-29-14,Volume,32497700,12-2-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-29-14,Adj Close,375.4670105,12-3-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
9-30-14,High,390.9769897,12-4-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
9-30-14,Low,373.4429932,12-5-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
9-30-14,Open,376.0880127,12-6-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
9-30-14,Close,386.9440002,12-7-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
9-30-14,Volume,34707300,12-8-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
9-30-14,Adj Close,386.9440002,12-9-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
10-1-14,High,391.3789978,12-10-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
10-1-14,Low,380.7799988,12-11-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
10-1-14,Open,387.427002,12-12-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
10-1-14,Close,383.6149902,12-13-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
10-1-14,Volume,26229400,12-14-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
10-1-14,Adj Close,383.6149902,12-15-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
10-2-14,High,385.4970093,12-16-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
10-2-14,Low,372.9460144,12-17-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
10-2-14,Open,383.9880066,12-18-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
10-2-14,Close,375.071991,12-19-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
10-2-14,Volume,21777700,12-20-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
10-2-14,Adj Close,375.071991,12-21-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
10-3-14,High,377.6950073,12-22-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
10-3-14,Low,357.8590088,12-23-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
10-3-14,Open,375.1809998,12-24-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
10-3-14,Close,359.5119934,12-25-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
10-3-14,Volume,30901200,12-26-14,468.1740112,457.3340149,21056800,452.4219971,457.3340149
10-3-14,Adj Close,359.5119934,12-27-14,452.4219971,468.1740112,457.3340149,465.8640137,21056800
10-4-14,High,364.4869995,12-28-14,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
10-4-14,Low,325.8859863,12-29-14,457.3340149,465.8640137,452.4219971,21056800,468.1740112
10-4-14,Open,359.8919983,12-30-14,21056800,457.3340149,465.8640137,457.3340149,452.4219971
10-4-14,Close,328.8659973,12-31-14,457.3340149,21056800,457.3340149,468.1740112,465.8640137
10-4-14,Volume,47236500,1-1-15,468.1740112,457.3340149,21056800,452.4219971,457.3340149
10-4-14,Adj Close,328.8659973,1-2-15,452.4219971,468.1740112,457.3340149,465.8640137,21056800
10-5-14,High,341.8009949,1-3-15,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
10-5-14,Low,289.29599,1-4-15,457.3340149,465.8640137,452.4219971,21056800,468.1740112
10-5-14,Open,328.9159851,1-5-15,21056800,457.3340149,465.8640137,457.3340149,452.4219971
10-5-14,Close,320.5100098,1-6-15,457.3340149,21056800,457.3340149,468.1740112,465.8640137
10-5-14,Volume,83308096,1-7-15,468.1740112,457.3340149,21056800,452.4219971,457.3340149
10-5-14,Adj Close,320.5100098,1-8-15,452.4219971,468.1740112,457.3340149,465.8640137,21056800
10-6-14,High,345.1340027,1-9-15,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
10-6-14,Low,302.5599976,1-10-15,457.3340149,465.8640137,452.4219971,21056800,468.1740112
10-6-14,Open,320.3890076,1-11-15,21056800,457.3340149,465.8640137,457.3340149,452.4219971
10-6-14,Close,330.07901,1-12-15,457.3340149,21056800,457.3340149,468.1740112,465.8640137
10-6-14,Volume,79011800,1-13-15,468.1740112,457.3340149,21056800,452.4219971,457.3340149
10-6-14,Adj Close,330.07901,1-14-15,452.4219971,468.1740112,457.3340149,465.8640137,21056800
10-7-14,High,339.2470093,1-15-15,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
10-7-14,Low,320.4819946,1-16-15,457.3340149,465.8640137,452.4219971,21056800,468.1740112
10-7-14,Open,330.5840149,1-17-15,21056800,457.3340149,465.8640137,457.3340149,452.4219971
10-7-14,Close,336.1870117,1-18-15,457.3340149,21056800,457.3340149,468.1740112,465.8640137
10-7-14,Volume,49199900,1-19-15,468.1740112,457.3340149,21056800,452.4219971,457.3340149
10-7-14,Adj Close,336.1870117,1-20-15,452.4219971,468.1740112,457.3340149,465.8640137,21056800
10-8-14,High,354.3640137,1-21-15,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
10-8-14,Low,327.1879883,1-22-15,457.3340149,465.8640137,452.4219971,21056800,468.1740112
10-8-14,Open,336.1159973,1-23-15,21056800,457.3340149,465.8640137,457.3340149,452.4219971
10-8-14,Close,352.9400024,1-24-15,457.3340149,21056800,457.3340149,468.1740112,465.8640137
10-8-14,Volume,54736300,1-25-15,468.1740112,457.3340149,21056800,452.4219971,457.3340149
10-8-14,Adj Close,352.9400024,1-26-15,452.4219971,468.1740112,457.3340149,465.8640137,21056800
10-9-14,High,382.7260132,1-27-15,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
10-9-14,Low,347.6870117,1-28-15,457.3340149,465.8640137,452.4219971,21056800,468.1740112
10-9-14,Open,352.7479858,1-29-15,21056800,457.3340149,465.8640137,457.3340149,452.4219971
10-9-14,Close,365.026001,1-30-15,457.3340149,21056800,457.3340149,468.1740112,465.8640137
10-9-14,Volume,83641104,1-31-15,468.1740112,457.3340149,21056800,452.4219971,457.3340149
10-9-14,Adj Close,365.026001,2-1-15,452.4219971,468.1740112,457.3340149,465.8640137,21056800
10-10-14,High,375.0669861,2-2-15,465.8640137,452.4219971,468.1740112,457.3340149,457.3340149
10-10-14,Low,352.9630127,2-3-15,457.3340149,465.8640137,452.4219971,21056800,468.1740112
10-10-14,Open,364.6870117,2-4-15,21056800,457.3340149,465.8640137,457.3340149,452.4219971
10-10-14,Close,361.5620117,2-5-15,457.3340149,21056800,457.3340149,468.1740112,465.8640137
10-10-14,Volume,43665700,2-6-15,468.1740112,457.3340149,21056800,452.4219971,457.3340149
