Date,level_1,0
2022-03-30,High,20.549999237060547
2022-03-30,Low,19.9950008392334
2022-03-30,Open,20.540000915527344
2022-03-30,Close,19.9950008392334
2022-03-30,Volume,9000.0
2022-03-30,Adj Close,19.9950008392334
2022-03-31,High,20.104999542236328
2022-03-31,Low,19.777000427246094
2022-03-31,Open,19.989999771118164
2022-03-31,Close,19.777000427246094
2022-03-31,Volume,4700.0
2022-03-31,Adj Close,19.777000427246094
2022-04-01,High,19.889999389648438
2022-04-01,Low,19.139999389648438
2022-04-01,Open,19.889999389648438
2022-04-01,Close,19.344999313354492
2022-04-01,Volume,3300.0
2022-04-01,Adj Close,19.344999313354492
2022-04-04,High,19.68199920654297
2022-04-04,Low,19.489999771118164
2022-04-04,Open,19.5
2022-04-04,Close,19.68199920654297
2022-04-04,Volume,1200.0
2022-04-04,Adj Close,19.68199920654297
2022-04-05,High,18.8799991607666
2022-04-05,Low,18.743000030517578
2022-04-05,Open,18.8700008392334
2022-04-05,Close,18.743000030517578
2022-04-05,Volume,1600.0
2022-04-05,Adj Close,18.743000030517578
2022-04-06,High,18.649999618530273
2022-04-06,Low,18.360000610351562
2022-04-06,Open,18.649999618530273
2022-04-06,Close,18.482999801635742
2022-04-06,Volume,4000.0
2022-04-06,Adj Close,18.482999801635742
2022-04-07,High,18.670000076293945
2022-04-07,Low,18.235000610351562
2022-04-07,Open,18.559999465942383
2022-04-07,Close,18.51099967956543
2022-04-07,Volume,4500.0
2022-04-07,Adj Close,18.51099967956543
2022-04-08,High,18.31999969482422
2022-04-08,Low,18.020000457763672
2022-04-08,Open,18.280000686645508
2022-04-08,Close,18.020000457763672
2022-04-08,Volume,8100.0
2022-04-08,Adj Close,18.020000457763672
2022-04-11,High,18.059999465942383
2022-04-11,Low,17.780000686645508
2022-04-11,Open,18.059999465942383
2022-04-11,Close,17.780000686645508
2022-04-11,Volume,23700.0
2022-04-11,Adj Close,17.780000686645508
2022-04-12,High,18.229999542236328
2022-04-12,Low,17.719999313354492
2022-04-12,Open,18.190000534057617
2022-04-12,Close,17.735000610351562
2022-04-12,Volume,15900.0
2022-04-12,Adj Close,17.735000610351562
2022-04-13,High,18.15999984741211
2022-04-13,Low,18.0
2022-04-13,Open,18.104999542236328
2022-04-13,Close,18.086000442504883
2022-04-13,Volume,3400.0
2022-04-13,Adj Close,18.086000442504883
2022-04-14,High,18.18000030517578
2022-04-14,Low,17.559999465942383
2022-04-14,Open,18.18000030517578
2022-04-14,Close,17.559999465942383
2022-04-14,Volume,7400.0
2022-04-14,Adj Close,17.559999465942383
2022-04-18,High,18.010000228881836
2022-04-18,Low,17.58099937438965
2022-04-18,Open,17.65999984741211
2022-04-18,Close,17.829999923706055
2022-04-18,Volume,15000.0
2022-04-18,Adj Close,17.829999923706055
2022-04-19,High,18.280000686645508
2022-04-19,Low,17.860000610351562
2022-04-19,Open,17.860000610351562
2022-04-19,Close,18.219999313354492
2022-04-19,Volume,11900.0
2022-04-19,Adj Close,18.219999313354492
2022-04-20,High,18.459999084472656
2022-04-20,Low,18.232999801635742
2022-04-20,Open,18.420000076293945
2022-04-20,Close,18.256999969482422
2022-04-20,Volume,9900.0
2022-04-20,Adj Close,18.256999969482422
2022-04-21,High,19.489999771118164
2022-04-21,Low,17.799999237060547
2022-04-21,Open,19.489999771118164
2022-04-21,Close,17.80900001525879
2022-04-21,Volume,5400.0
2022-04-21,Adj Close,17.80900001525879
2022-04-22,High,17.850000381469727
2022-04-22,Low,17.600000381469727
2022-04-22,Open,17.739999771118164
2022-04-22,Close,17.726999282836914
2022-04-22,Volume,9300.0
2022-04-22,Adj Close,17.726999282836914
2022-04-25,High,17.690000534057617
2022-04-25,Low,17.31999969482422
2022-04-25,Open,17.420000076293945
2022-04-25,Close,17.690000534057617
2022-04-25,Volume,2200.0
2022-04-25,Adj Close,17.690000534057617
2022-04-26,High,17.719999313354492
