DATE,IPB53122S,PCE,PCU33443344
1984-12-01,0.0844,2582.6,100.0
1985-01-01,0.086,2618.8,100.5
1985-02-01,0.0834,2640.8,100.8
1985-03-01,0.0822,2648.5,100.9
1985-04-01,0.0788,2659.5,100.6
1985-05-01,0.0802,2696.4,100.1
1985-06-01,0.0802,2689.4,100.1
1985-07-01,0.0768,2715.7,100.4
1985-08-01,0.0768,2752.1,100.5
1985-09-01,0.0752,2794.7,100.5
1985-10-01,0.0752,2755.8,100.5
1985-11-01,0.0755,2771.1,100.6
1985-12-01,0.0766,2811.3,100.8
1986-01-01,0.0769,2827.1,101.4
1986-02-01,0.0776,2820.2,101.6
1986-03-01,0.0778,2823.6,101.8
1986-04-01,0.0795,2835.2,102.0
1986-05-01,0.0798,2857.5,102.1
1986-06-01,0.0805,2861.7,102.3
1986-07-01,0.0823,2881.2,102.8
1986-08-01,0.0841,2898.6,102.7
1986-09-01,0.0858,2971.8,103.1
1986-10-01,0.0863,2932.9,103.2
1986-11-01,0.088,2928.4,103.1
1986-12-01,0.091,2997.1,103.2
1987-01-01,0.0933,2935.5,103.0
1987-02-01,0.0949,3001.7,103.0
1987-03-01,0.0958,3013.3,102.7
1987-04-01,0.0973,3038.8,102.5
1987-05-01,0.0994,3048.4,102.2
1987-06-01,0.1013,3072.8,102.2
1987-07-01,0.1043,3094.7,102.6
1987-08-01,0.1052,3130.8,102.6
1987-09-01,0.1069,3126.5,102.5
1987-10-01,0.1098,3134.5,102.7
1987-11-01,0.1103,3144.2,102.6
1987-12-01,0.1121,3174.1,103.0
1988-01-01,0.113,3213.7,103.2
1988-02-01,0.1134,3221.4,103.8
1988-03-01,0.1136,3260.5,103.7
1988-04-01,0.1146,3263.0,103.2
1988-05-01,0.116,3293.6,103.8
1988-06-01,0.1178,3318.5,104.0
1988-07-01,0.1195,3342.7,104.1
1988-08-01,0.1209,3368.0,104.4
1988-09-01,0.1223,3375.0,104.6
1988-10-01,0.1236,3413.7,104.3
1988-11-01,0.126,3430.2,104.6
1988-12-01,0.1276,3459.7,104.7
1989-01-01,0.1267,3483.7,104.7
1989-02-01,0.1257,3488.0,104.9
1989-03-01,0.1242,3498.8,105.0
1989-04-01,0.1265,3543.0,105.0
1989-05-01,0.1271,3551.8,105.1
1989-06-01,0.1289,3566.6,105.2
1989-07-01,0.1295,3585.7,105.2
1989-08-01,0.1336,3620.6,105.3
1989-09-01,0.1364,3621.9,105.2
1989-10-01,0.1379,3633.6,105.5
1989-11-01,0.1393,3643.3,105.3
1989-12-01,0.1402,3684.2,104.9
1990-01-01,0.1409,3730.7,105.1
1990-02-01,0.1433,3728.2,104.8
1990-03-01,0.1459,3754.9,104.9
1990-04-01,0.1466,3770.0,104.8
1990-05-01,0.1474,3775.8,104.8
1990-06-01,0.1488,3804.5,104.9
1990-07-01,0.1486,3821.7,105.4
1990-08-01,0.1494,3848.3,104.8
1990-09-01,0.152,3870.1,104.8
1990-10-01,0.1533,3870.6,104.8
1990-11-01,0.1546,3871.9,104.7
1990-12-01,0.1553,3861.3,104.9
1991-01-01,0.1571,3841.0,105.4
1991-02-01,0.1606,3866.7,105.5
1991-03-01,0.1627,3913.0,105.3
1991-04-01,0.1633,3907.1,105.3
1991-05-01,0.1671,3933.2,104.9
1991-06-01,0.1659,3940.5,105.1
1991-07-01,0.1673,3966.0,104.9
1991-08-01,0.1694,3969.1,104.8
1991-09-01,0.1678,3984.7,104.6
1991-10-01,0.1701,3976.0,104.5
1991-11-01,0.1704,4003.6,104.4
1991-12-01,0.1728,4020.5,104.5
1992-01-01,0.1797,4084.7,104.3
1992-02-01,0.1824,4099.5,104.8
1992-03-01,0.1841,4117.0,105.4
1992-04-01,0.1864,4131.5,105.4
1992-05-01,0.1889,4158.4,104.8
1992-06-01,0.1936,4177.1,104.7
1992-07-01,0.1991,4204.8,104.5
1992-08-01,0.2012,4220.9,104.3
1992-09-01,0.2045,4255.3,104.2
1992-10-01,0.2113,4284.7,104.3
1992-11-01,0.2161,4300.5,104.1
1992-12-01,0.2162,4336.4,104.5
1993-01-01,0.2146,4340.7,104.6
1993-02-01,0.2165,4355.3,105.2
1993-03-01,0.219,4352.5,105.3
1993-04-01,0.2193,4393.4,105.7
1993-05-01,0.222,4422.4,105.5
1993-06-01,0.2266,4440.0,105.5
1993-07-01,0.2286,4468.9,105.2
1993-08-01,0.232,4481.1,105.3
1993-09-01,0.235,4511.5,105.4
1993-10-01,0.2378,4532.8,105.3
1993-11-01,0.2423,4554.1,105.6
1993-12-01,0.2502,4571.1,105.3
1994-01-01,0.2585,4585.1,105.3
1994-02-01,0.2628,4632.6,105.4
1994-03-01,0.2735,4646.0,105.4
1994-04-01,0.2891,4671.1,105.5
1994-05-01,0.2985,4669.5,105.4
1994-06-01,0.3039,4708.9,105.5
1994-07-01,0.3131,4720.6,105.4
1994-08-01,0.3228,4762.6,104.7
1994-09-01,0.3353,4775.0,104.2
1994-10-01,0.3477,4812.9,103.6
1994-11-01,0.3593,4825.6,103.5
1994-12-01,0.3738,4841.6,103.3
1995-01-01,0.386,4851.2,103.1
1995-02-01,0.3971,4850.8,103.6
1995-03-01,0.4155,4885.4,102.8
1995-04-01,0.4327,4890.2,102.9
1995-05-01,0.4487,4933.1,102.7
1995-06-01,0.4593,4977.5,102.5
1995-07-01,0.4668,4970.2,102.1
1995-08-01,0.4903,5005.3,102.0
1995-09-01,0.5167,5020.5,102.1
1995-10-01,0.5359,5013.9,102.3
1995-11-01,0.5516,5055.6,102.3
1995-12-01,0.5842,5097.5,102.2
1996-01-01,0.6164,5085.7,102.0
1996-02-01,0.6537,5132.8,101.8
1996-03-01,0.674,5173.3,100.6
1996-04-01,0.6906,5208.0,99.7
1996-05-01,0.7124,5223.8,99.1
1996-06-01,0.7343,5229.8,98.7
1996-07-01,0.763,5251.9,98.7
1996-08-01,0.7946,5275.0,98.7
1996-09-01,0.8326,5296.6,98.8
1996-10-01,0.8772,5328.5,98.0
1996-11-01,0.9023,5351.2,97.8
1996-12-01,0.9219,5378.6,97.8
1997-01-01,0.9508,5411.1,97.2
1997-02-01,1.0071,5434.0,96.6
1997-03-01,1.0524,5454.2,96.6
1997-04-01,1.0819,5459.3,96.2
1997-05-01,1.1279,5460.2,95.4
1997-06-01,1.1591,5494.2,95.5
1997-07-01,1.1836,5548.8,95.5
1997-08-01,1.2548,5587.0,94.2
1997-09-01,1.3253,5601.7,94.2
1997-10-01,1.3702,5637.7,93.6
1997-11-01,1.4171,5661.1,93.3
1997-12-01,1.4611,5692.1,93.3
1998-01-01,1.5,5689.9,92.9
1998-02-01,1.5165,5723.8,92.6
1998-03-01,1.5633,5750.3,92.5
1998-04-01,1.6325,5788.1,92.4
1998-05-01,1.6664,5837.9,92.1
1998-06-01,1.7457,5871.7,92.0
1998-07-01,1.8499,5890.0,91.7
1998-08-01,1.9577,5925.0,91.5
1998-09-01,2.0868,5965.6,91.3
1998-10-01,2.2131,5998.8,91.2
1998-11-01,2.3147,6015.4,91.0
1998-12-01,2.4188,6070.5,91.0
1999-01-01,2.5401,6073.9,90.8
1999-02-01,2.6825,6099.2,90.7
1999-03-01,2.7966,6133.0,90.7
1999-04-01,2.9268,6199.5,90.5
1999-05-01,3.0273,6232.1,90.4
1999-06-01,3.1683,6260.3,89.9
1999-07-01,3.3502,6287.6,89.7
1999-08-01,3.3543,6331.9,89.9
1999-09-01,3.3325,6386.5,90.0
1999-10-01,3.4601,6411.4,89.7
1999-11-01,3.6122,6448.7,89.5
1999-12-01,3.7321,6541.0,89.3
2000-01-01,3.8482,6542.9,88.8
2000-02-01,3.9764,6625.3,88.6
2000-03-01,4.1646,6686.5,88.6
2000-04-01,4.4231,6679.1,88.9
2000-05-01,4.6744,6709.7,88.5
2000-06-01,4.8544,6746.9,88.8
2000-07-01,5.0491,6768.5,89.3
2000-08-01,5.1689,6802.8,89.2
2000-09-01,5.2643,6888.6,89.1
2000-10-01,5.384,6893.8,88.8
2000-11-01,5.6712,6909.8,88.6
2000-12-01,5.8743,6952.2,87.9
2001-01-01,5.7741,6987.4,87.9
2001-02-01,5.7637,7001.8,87.5
2001-03-01,5.8565,6996.7,87.3
2001-04-01,5.7738,7004.2,87.1
2001-05-01,5.6983,7052.8,86.9
2001-06-01,5.6483,7069.7,86.5
2001-07-01,5.4948,7082.3,86.3
2001-08-01,5.5348,7121.7,85.6
2001-09-01,5.7492,7007.0,85.4
2001-10-01,5.8804,7212.9,85.3
2001-11-01,5.9223,7182.3,85.4
2001-12-01,6.1435,7166.7,85.4
2002-01-01,6.3669,7184.6,85.7
2002-02-01,6.5802,7225.2,85.8
2002-03-01,6.775,7243.4,86.1
2002-04-01,6.9896,7312.5,85.4
2002-05-01,7.1246,7288.9,84.9
2002-06-01,7.2734,7322.5,84.8
