Date,level_1,0
1999-01-25,High,0.45833298563957214
1999-01-25,Low,0.4101560115814209
1999-01-25,Open,0.44270798563957214
1999-01-25,Close,0.453125
1999-01-25,Volume,51048000.0
1999-01-25,Adj Close,0.41596290469169617
1999-01-26,High,0.46744799613952637
1999-01-26,Low,0.41145798563957214
1999-01-26,Open,0.45833298563957214
1999-01-26,Close,0.4179689884185791
1999-01-26,Volume,34320000.0
1999-01-26,Adj Close,0.38369011878967285
1999-01-27,High,0.4296880066394806
1999-01-27,Low,0.39583298563957214
1999-01-27,Open,0.41927099227905273
1999-01-27,Close,0.41666701436042786
1999-01-27,Volume,24436800.0
1999-01-27,Adj Close,0.3824949264526367
1999-01-28,High,0.41927099227905273
1999-01-28,Low,0.4127599895000458
1999-01-28,Open,0.41666701436042786
1999-01-28,Close,0.4153650104999542
1999-01-28,Volume,22752000.0
1999-01-28,Adj Close,0.3812997341156006
1999-01-29,High,0.41666701436042786
1999-01-29,Low,0.39583298563957214
1999-01-29,Open,0.4153650104999542
1999-01-29,Close,0.39583298563957214
1999-01-29,Volume,24403200.0
1999-01-29,Adj Close,0.3633696436882019
1999-02-01,High,0.40625
1999-02-01,Low,0.39583298563957214
1999-02-01,Open,0.39583298563957214
1999-02-01,Close,0.40364599227905273
1999-02-01,Volume,15470400.0
1999-02-01,Adj Close,0.37054190039634705
1999-02-02,High,0.40625
1999-02-02,Low,0.36067700386047363
1999-02-02,Open,0.39583298563957214
1999-02-02,Close,0.37239599227905273
1999-02-02,Volume,26409600.0
1999-02-02,Adj Close,0.34185463190078735
1999-02-03,High,0.38541701436042786
1999-02-03,Low,0.36458298563957214
1999-02-03,Open,0.3671880066394806
1999-02-03,Close,0.38020798563957214
1999-02-03,Volume,7512000.0
1999-02-03,Adj Close,0.34902605414390564
1999-02-04,High,0.41145798563957214
1999-02-04,Low,0.38020798563957214
1999-02-04,Open,0.38541701436042786
1999-02-04,Close,0.40104201436042786
1999-02-04,Volume,18192000.0
1999-02-04,Adj Close,0.3681514859199524
1999-02-05,High,0.41666701436042786
1999-02-05,Low,0.3971349895000458
1999-02-05,Open,0.40755200386047363
1999-02-05,Close,0.4127599895000458
1999-02-05,Volume,13684800.0
1999-02-05,Adj Close,0.3789082467556
1999-02-08,High,0.41666701436042786
1999-02-08,Low,0.3984380066394806
1999-02-08,Open,0.4153650104999542
1999-02-08,Close,0.3984380066394806
1999-02-08,Volume,15408000.0
1999-02-08,Adj Close,0.36576083302497864
1999-02-09,High,0.40885400772094727
1999-02-09,Low,0.37760400772094727
1999-02-09,Open,0.40625
1999-02-09,Close,0.3828130066394806
1999-02-09,Volume,8697600.0
1999-02-09,Adj Close,0.3514173626899719
1999-02-10,High,0.39322900772094727
1999-02-10,Low,0.37239599227905273
1999-02-10,Open,0.3828130066394806
1999-02-10,Close,0.3789060115814209
1999-02-10,Volume,14822400.0
1999-02-10,Adj Close,0.3478308916091919
1999-02-11,High,0.42708298563957214
1999-02-11,Low,0.38020798563957214
1999-02-11,Open,0.38020798563957214
1999-02-11,Close,0.41145798563957214
1999-02-11,Volume,13224000.0
1999-02-11,Adj Close,0.37771308422088623
1999-02-12,High,0.4375
1999-02-12,Low,0.41666701436042786
1999-02-12,Open,0.41666701436042786
1999-02-12,Close,0.43489599227905273
1999-02-12,Volume,10972800.0
1999-02-12,Adj Close,0.39922896027565
1999-02-16,High,0.4609380066394806
1999-02-16,Low,0.39322900772094727
1999-02-16,Open,0.44270798563957214
1999-02-16,Close,0.4375
1999-02-16,Volume,21100800.0
1999-02-16,Adj Close,0.4016193449497223
1999-02-17,High,0.43229201436042786
1999-02-17,Low,0.40625
1999-02-17,Open,0.42708298563957214
1999-02-17,Close,0.4140630066394806
1999-02-17,Volume,6772800.0
1999-02-17,Adj Close,0.38010454177856445
1999-02-18,High,0.43229201436042786
1999-02-18,Low,0.40885400772094727
1999-02-18,Open,0.42708298563957214
1999-02-18,Close,0.42057299613952637
1999-02-18,Volume,7070400.0
1999-02-18,Adj Close,0.3860805630683899
1999-02-19,High,0.44270798563957214
1999-02-19,Low,0.41145798563957214
1999-02-19,Open,0.41666701436042786
1999-02-19,Close,0.43489599227905273
1999-02-19,Volume,7536000.0
1999-02-19,Adj Close,0.39922896027565
1999-02-22,High,0.44791701436042786
1999-02-22,Low,0.4140630066394806
1999-02-22,Open,0.44270798563957214
1999-02-22,Close,0.4375
1999-02-22,Volume,20524800.0
1999-02-22,Adj Close,0.4016193449497223
1999-02-23,High,0.46744799613952637
1999-02-23,Low,0.421875
1999-02-23,Open,0.44791701436042786
1999-02-23,Close,0.45833298563957214
1999-02-23,Volume,13809600.0
1999-02-23,Adj Close,0.4207437038421631
1999-02-24,High,0.546875
1999-02-24,Low,0.48307299613952637
1999-02-24,Open,0.5260419845581055
1999-02-24,Close,0.49479201436042786
1999-02-24,Volume,61276800.0
1999-02-24,Adj Close,0.45421260595321655
1999-02-25,High,0.53125
1999-02-25,Low,0.47135400772094727
1999-02-25,Open,0.515625
1999-02-25,Close,0.47916701436042786
1999-02-25,Volume,14913600.0
1999-02-25,Adj Close,0.4398690462112427
1999-02-26,High,0.5
1999-02-26,Low,0.453125
1999-02-26,Open,0.484375
1999-02-26,Close,0.4570310115814209
1999-02-26,Volume,17260800.0
1999-02-26,Adj Close,0.4195486307144165
1999-03-01,High,0.47916701436042786
1999-03-01,Low,0.4375
1999-03-01,Open,0.46875
1999-03-01,Close,0.4596349895000458
1999-03-01,Volume,9216000.0
1999-03-01,Adj Close,0.421938955783844
1999-03-02,High,0.4609380066394806
1999-03-02,Low,0.44791701436042786
1999-03-02,Open,0.45833298563957214
1999-03-02,Close,0.45572900772094727
1999-03-02,Volume,5524800.0
1999-03-02,Adj Close,0.4183533191680908
1999-03-03,High,0.45833298563957214
1999-03-03,Low,0.421875
1999-03-03,Open,0.45833298563957214
1999-03-03,Close,0.42447900772094727
1999-03-03,Volume,6139200.0
1999-03-03,Adj Close,0.38966628909111023
1999-03-04,High,0.44791701436042786
1999-03-04,Low,0.41145798563957214
1999-03-04,Open,0.4453130066394806
1999-03-04,Close,0.4153650104999542
1999-03-04,Volume,5736000.0
1999-03-04,Adj Close,0.3812997341156006
1999-03-05,High,0.44010400772094727
1999-03-05,Low,0.41927099227905273
1999-03-05,Open,0.41927099227905273
1999-03-05,Close,0.43880200386047363
1999-03-05,Volume,7876800.0
1999-03-05,Adj Close,0.4028145968914032
1999-03-08,High,0.45833298563957214
1999-03-08,Low,0.41927099227905273
1999-03-08,Open,0.42708298563957214
1999-03-08,Close,0.4453130066394806
