Datetime,Tweet Id,Text,Username
2022-11-26 18:33:49+00:00,1596572951100289025,"🟢 [MediaMarkt]: ASUS ROG-STRIX-RTX4080-O16G-GAMING (90YV0IC0-M0NA00) (NVIDIA, Gaming-Grafikkarte) now availble! 🟢

💰 Price:1829€
🔗 Link: https://t.co/tmL1CvP89Q* ＊

🕐: 19:33:48",Datenheim_GPU
2022-11-26 18:33:48+00:00,1596572949959806976,"🟢 [MediaMarkt]: GIGABYTE GV-N4080EAGLE-16GD (4719331311568) (NVIDIA, Grafikkarte) now availble! 🟢

💰 Price:1489€
🔗 Link: https://t.co/XuhdEIJS4n* ＊

🕐: 19:33:48",Datenheim_GPU
2022-11-26 18:33:38+00:00,1596572908557856768,@NanouuSymeon NVIDIA pr Google,belankar_shubh
2022-11-26 18:33:35+00:00,1596572894041194497,"Most important news for windows 11 friends ...
Nvidia: 100% GPU usage in Windows 11 Task Manager is a known issue
https://t.co/QOR1zmxuC3",nomanayyaz81
2022-11-26 18:32:48+00:00,1596572698901348352,"🟢 [Saturn]: ZOTAC ZOTAC GAMING GeForce RTX 4080 AMP EXTREME AIRO (ZT-D40810B-10P) (NVIDIA, Grafikkarte) now availble! 🟢

💰 Price:1619€
🔗 Link: https://t.co/Po6zJgvc5C* ＊

🕐: 19:32:48",Datenheim_GPU
2022-11-26 18:32:35+00:00,1596572640499621889,"🗑️ Produto cj6eh19e1k | Galax NVIDIA GeForce RTX 3050 v2 1- CLICK OC, 8GB, 128BIT - 35NSL8MD5YBP não foi incluido no monitoramento por votação 🤷‍

https://t.co/hNgqySTOZa",gpubipolar
2022-11-26 18:32:34+00:00,1596572640151470082,@GetawesomeG i have Nvidia broadcast where you don't need green screen tarp,BlondeeGaming
2022-11-26 18:31:15+00:00,1596572306918236161,"Atualizou o Produto: PLACA DE VIDEO NVIDIA GEFORCE RTX 2060 GDDR6 6GB 192 DUAL FAN - FULL SIZE- GRAFFITI SERIES – PA2060RTX6GDF – PCYES  
 Preço:2274.0 
 Atualizado em: 26/11/2022 15:31 
 Confira: https://t.co/M5SyZEYEDi",Xplacasdevideo
2022-11-26 18:30:54+00:00,1596572218430988288,"NVIDIA GeForce RTX 4070, RTX 4060 Ti e RTX 4060: ipotizzate le fasce di prezzo | https://t.co/DbRw74rQ4R

#NVIDIA #rtx4080 #GPU #GPUalert #Graphics #PRICES  #price #gamingsetup https://t.co/bQiu2c0UuK",3dfxzone
2022-11-26 18:30:41+00:00,1596572165125668864,"🟢 [MediaMarkt]: MSI RTX 4080 16GB SUPRIM X (V511-004R) (NVIDIA, Grafikkarte) now availble! 🟢

💰 Price:1639€
🔗 Link: https://t.co/5lwZk5dgzr* ＊

🕐: 19:30:41",Datenheim_GPU
2022-11-26 18:30:13+00:00,1596572047286882304,"@potato20114 @cwattyeso @OC3D And the other 3000 series cards have stabilized in pricing closer to msrp

That 3080 at $600-750 2 years after launch, Nvidia is winning either  way",imo_omar
